Intento,Score,std_dev,Reward_Dist,Reward_Ctrl,Reward_Near_Object,Reward_Contact,Episode_Length,TD_Error,Actor_Loss,Critic_Loss,Policy_Gradients
1025,-39.58660071975177,0.2,-0.2496165034798664,-0.07623187488317491,-0.07001762883447653,0.0,100,0.0,0.0,0.0,4.450695676803589
1050,-44.55524018629739,0.2,-0.3057848369645216,-0.07803464981913569,-0.06173291507931709,0.0,100,0.0,0.0,0.0,4.450695676803589
1050,-38.97925310814174,0.2,-0.2230253339094645,-0.08877681855857372,-0.07799037861337943,0.0,100,0.0,0.0,0.0,4.450695676803589
1050,-37.122241322911954,0.2,-0.22691029449485398,-0.06615945313870907,-0.07815266559555649,0.0,100,0.0,0.0,0.0,4.450695676803589
1050,-38.22533514031635,0.2,-0.20683391886500757,-0.09465097910165789,-0.08076845343649819,0.0,100,0.0,0.0,0.0,4.450695676803589
1050,-41.58697873423749,0.2,-0.26874586092474084,-0.08125135271251203,-0.06587257370512205,0.0,100,0.0,0.0,0.0,4.450695676803589
1075,-36.4720468691898,0.2,-0.21770235897328036,-0.07562728057801724,-0.07139082914060038,0.0,100,0.0,0.0,0.0,4.450695676803589
1075,-44.679788776201015,0.2,-0.30950406728618374,-0.08710973876714707,-0.05018408170867925,0.0,100,0.0,0.0,0.0,4.450695676803589
1075,-46.12565862515854,0.2,-0.28698236343458167,-0.1003051580041647,-0.07396906481283919,0.0,100,0.0,0.0,0.0,4.450695676803589
1075,-37.679957057937095,0.2,-0.19798779711946765,-0.09023943016678095,-0.0885723432931221,0.0,100,0.0,0.0,0.0,4.450695676803589
1075,-37.398726824086104,0.2,-0.22520079645438712,-0.07793257266283037,-0.07085389912364361,0.0,100,0.0,0.0,0.0,4.450695676803589
1100,-48.55856417829659,0.2,-0.3335847797352413,-0.0810354812592268,-0.07096538078849769,0.0,100,0.0,0.0,0.0,4.450695676803589
1100,-37.70281726846167,0.2,-0.21053713027754328,-0.07477114440500737,-0.09171989800206619,0.0,100,0.0,0.0,0.0,4.450695676803589
1100,-36.50236146743445,0.2,-0.19976614551177996,-0.07965389126539231,-0.08560357789717205,0.0,100,0.0,0.0,0.0,4.450695676803589
1100,-37.726360618803405,0.2,-0.20904936903526605,-0.09318185906112195,-0.07503237809164612,0.0,100,0.0,0.0,0.0,4.450695676803589
1100,-38.042014350922585,0.2,-0.23275859176567493,-0.07702772051095963,-0.07063383123259113,0.0,100,0.0,0.0,0.0,4.450695676803589
1125,-45.09746253635214,0.2,-0.3183161270361223,-0.06524865202605724,-0.067409846301342,0.0,100,0.0,0.0,0.0,4.450695676803589
1125,-36.90730691895395,0.2,-0.2135697614546765,-0.07115146206319332,-0.08435184567166949,0.0,100,0.0,0.0,0.0,4.450695676803589
1125,-37.29114413965847,0.2,-0.2252418501253034,-0.07384363376256078,-0.0738259575087207,0.0,100,0.0,0.0,0.0,4.450695676803589
1125,-44.40140390404718,0.2,-0.3219883563815418,-0.06642356076836586,-0.055602121890564016,0.0,100,0.0,0.0,0.0,4.450695676803589
1125,-36.20098878465759,0.2,-0.20461155582363585,-0.0929601840078831,-0.06443814801505705,0.0,100,0.0,0.0,0.0,4.450695676803589
1150,-32.30803940623255,0.2,-0.18433147488955862,-0.05831494635343553,-0.08043397281933132,0.0,100,0.0,0.0,0.0,4.450695676803589
1150,-44.95497445621093,0.2,-0.2775272348746296,-0.08648323146998882,-0.08553927821749056,0.0,100,0.0,0.0,0.0,4.450695676803589
1150,-36.021950934949885,0.2,-0.19072725606525548,-0.07706491906940938,-0.09242733421483393,0.0,100,0.0,0.0,0.0,4.450695676803589
